i,#cores,Gbps,Mpps,loss
1,1,33.246912544,2.777984,0.0
2,1,34.082106604799996,2.8477696,0.0
3,1,33.589293088,2.806592,0.0
4,1,32.784277536,2.739328,0.0
5,1,33.4227751232,2.7926784,0.0
6,1,33.4511153472,2.7950464,0.0
7,1,32.4979646784,2.7154048,0.0
8,1,33.7077092672,2.8164864,0.0
9,1,32.7991370048,2.7405696,0.0
10,1,34.1954675008,2.8572416,0.0
