i,#cores,Gbps,Mpps,loss
1,1,3.4594619711999997,6.7567616,0.0
2,1,3.4524496192,6.7430655999999995,0.0
3,1,3.493658656,6.823552,0.0
4,1,3.5989160256,7.0291328,0.0
5,1,3.4591080768,6.7560704000000005,0.0
6,1,3.3494991168,6.5419904,0.0
7,1,3.5962618176,7.023948799999999,0.0
8,1,3.6050108736,7.0410368,0.0
9,1,3.3492042048000004,6.541414400000001,0.0
10,1,3.4661531968,6.7698304,0.0
