0 0.0
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.05389221556886228
21 0.18363273453093812
22 0.29141716566866266
23 0.3852295409181637
24 0.500998003992016
25 0.5988023952095808
26 0.6806387225548902
27 0.7225548902195609
28 0.7604790419161677
29 0.780439121756487
30 0.7904191616766467
31 0.7924151696606786
32 0.8003992015968064
33 0.8043912175648703
34 0.8083832335329342
35 0.812375249500998
36 0.8163672654690619
37 0.8183632734530938
38 0.8183632734530938
39 0.8183632734530938
40 0.8183632734530938
41 0.8203592814371258
42 0.8203592814371258
43 0.8303393213572854
44 0.8762475049900199
45 0.9221556886227545
46 0.9241516966067864
47 0.9241516966067864
48 0.9421157684630739
49 0.9840319361277445
50 0.998003992015968
50 1.0
