"64B" 4.9313344 4.6325632 5.2642688
"128B" 4.3255616 4.0702336 4.5743232
"256B" 4.0956736 4.0323968 4.4761472
"512B" 3.8536192 3.7921792 3.9868416
"internet" 3.5077568 3.4110592000000004 3.7330048
"1024B" 3.314368 3.1728128 3.3768064
"1500B" 2.7938624 2.7154048 2.8572416
