files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.90  T=0.01 s (1009.7 files/s, 92516.8 lines/s)"
4,C,84,16,466
3,C/C++ Header,33,10,109
1,make,3,0,12
8,SUM,120,26,587
