i,#cores,Gbps,Mpps,loss
1,1,30.448367648,3.7314176,0.0
2,1,29.41527248,3.6048128,0.0
3,1,30.590521376,3.7488384,0.0
4,1,31.547369504,3.8660992000000003,0.0
5,1,30.540804128,3.7427456,0.0
