i,#cores,Gbps,Mpps,loss
1,1,22.4175767872,1.8731263999999999,0.0
2,1,20.8075456832,1.7385983999999999,0.0
3,1,21.7087648064,1.8139008,0.0
4,1,21.513140665599998,1.7975552,0.0
5,1,22.4566403392,1.8763904,0.0
6,1,21.486332345599997,1.7953151999999999,0.0
7,1,21.8155385152,1.8228224,0.0
8,1,19.072051641599998,1.5935872,0.0
9,1,22.2905819456,1.8625152,0.0
10,1,21.799759904,1.821504,0.0
