i,#cores,Gbps,Mpps,loss
1,1,8.6452273472,4.2883072,0.0
2,1,8.320241696,4.127104,0.0
3,1,8.3410919744,4.1374464,0.0
4,1,8.1746768192,4.0548992,0.0
5,1,8.1444852032,4.0399232000000005,0.0
6,1,8.0390209856,3.9876096000000003,0.0
7,1,8.1672450368,4.0512128,0.0
8,1,7.792146464,3.865152,0.0
9,1,8.7236481344,4.327206400000001,0.0
10,1,8.2682966336,4.1013376,0.0
