i,#cores,Gbps,Mpps,loss
1,1,36.817084448,4.511897599999999,0.0
2,1,38.93100752,4.7709567999999996,0.0
3,1,38.996705312,4.779008,0.0
4,1,36.97939664,4.5317888,0.0
5,1,37.4253896,4.5864448,0.0
